startup_id,startup_name,founding_year,funding_stage,total_capital_raised_usd,cash_on_hand_usd,monthly_burn_usd,runway_months,annual_revenue_run_rate,revenue_growth_rate_percent,gross_margin_percent,burn_multiple,ltv_cac_ratio,investor_tier_primary,has_debt,patent_count,network_effects_present,has_data_moat,regulatory_advantage_present,tech_differentiation_score,switching_cost_score,brand_strength_score,scalability_score,product_stage,product_retention_30d,product_retention_90d,sector,tam_size_usd,sam_size_usd,som_size_usd,market_growth_rate_percent,customer_count,customer_concentration_percent,user_growth_rate_percent,net_dollar_retention_percent,competition_intensity,competitors_named_count,dau_mau_ratio,founders_count,team_size_full_time,years_experience_avg,domain_expertise_years_avg,prior_startup_experience_count,prior_successful_exits_count,board_advisor_experience_score,advisors_count,team_diversity_percent,key_person_dependency,success,burn_multiple_calc
id_450908,SwiftLabs_75711,2019,Series B,37100242,11931259,1261408,9.458681591876829,22705348,188.7841547557286,76.11454059733454,0.6666666666666666,3.8699547642930354,Tier2,False,1,False,True,False,1.489387204216659,4.776018964110979,1.9986357723652053,0.5342781188888405,GA,0.6523328844344374,0.5625143200449808,AI/ML,94097718977,17373457771,801363363,33.8849182388568,6296,15.128627912007536,153.6881289493434,120.0,3.394745761182053,11,0.46147380237414,1,61,5.194071876205218,9.94674516641845,0,0,2.963520146568326,6,65.84934258339658,False,True,0.666666549220034
id_326541,DataFood_80174,2025,Pre-seed,65754,30244,5285,5.721691445903233,0,42.09111850190615,79.02065694926455,100.0,0.0,Angel,True,2,False,False,False,1.13341610997825,2.611706078436162,1.4155426464254002,0.4262524371508736,Concept,0.3589431998298408,0.2090581448994037,SaaS,483779388382,77440344342,11132702787,15.127372494141136,63,26.962860371555934,38.29667817646956,99.35394504900844,2.609773911466436,10,0.1531387941767727,2,4,1.5011360722137963,4.665106761603268,3,0,0.8087440050143238,3,40.5676428238603,False,False,100.0
id_9702,LegalLabs_19854,2022,Seed,473306,266025,29625,8.979727084833613,37969,27.065508357986868,69.04375872576168,9.362901564420074,0.3951436328492864,Tier2,False,0,False,False,True,0.857979276807138,1.885080909017118,1.615162612626046,0.1448698297900274,Beta,0.2604906222496491,0.2203052489353025,HealthTech,765683715021,139985023487,3732939063,21.76402765942457,862,29.00817424596535,22.47520929980849,94.24059971323555,4.306309287098542,29,0.0628608311592931,3,8,3.085446306301661,1.6345346980366255,1,0,1.2476934134619493,9,73.23416329954755,False,False,9.36290131423003
id_965127,QuantumSoft_76689,2021,Seed,449653,283256,25692,11.024938710786932,79237,129.98426731809658,69.6060545294386,3.890914656149363,1.55446973459395,Tier2,False,0,False,False,True,1.5353413711743864,1.8037253181520625,1.3718720464606446,0.6495235920352788,Beta,0.5122590756492175,0.3293366617071382,FinTech,235579203404,39574538995,3941906818,22.17824129342593,452,20.102440894320356,113.54044841293292,106.35989519893631,4.292824237653239,15,0.2529505796717434,3,3,4.839306902355026,3.143217025184808,2,0,2.264303140140836,0,61.62798572122705,False,False,3.8909095498315183
id_880845,AutoFlow_92981,2019,Series A,4171001,2217798,209750,10.573496612222687,1258612,36.33652576527764,82.77174965693966,1.9998274013854909,1.3419685176075244,Tier2,False,1,False,False,False,0.9830960581769584,2.5682500216460165,1.2875869181068265,0.2699932855184181,GA,0.2620837023416089,0.1303454134727092,SaaS,120497410440,13517436819,4041200719,29.66311117738373,8589,18.96557755744452,34.97985995815312,99.23242897606669,2.875554111416596,29,0.2192434807182781,1,32,5.31052189996168,4.021840006208137,1,0,1.3912803459749663,7,31.80762408000338,True,False,1.9998220261685093
id_501261,SpaceFlow_76424,2021,Series A,5019625,2784559,231835,12.010918113699294,2182355,61.80150474852033,65.14375017179731,1.2747821146847187,2.2628570865058446,Tier2,False,0,False,False,True,3.630687403035717,2.274074406763702,1.3029783442673786,0.7265543554183149,GA,0.3197056903267662,0.3065567148007598,FinTech,949615477505,164423876104,35481662049,29.664086208633037,4037,16.094163469134912,72.03882226845224,110.17106846612045,2.267544017703843,42,0.2630650306641485,3,40,11.275381677697046,2.1154793931464924,2,1,1.2465730792942795,2,33.50163763952692,False,False,1.274778851286798
id_406548,AutoPlatform_83994,2021,Series A,2691969,1451922,128136,11.331076705940436,1055491,73.8287268709473,75.94877409923814,1.456795894490732,1.652478807225239,Tier2,True,0,True,False,False,1.5368113097974343,3.3992802950985075,2.8195921143127185,0.2067161764003054,GA,0.2666036105039401,0.2042250546047314,SaaS,280907310320,43509427432,8317321508,21.00978982734589,6749,8.024459073831009,78.33961466064851,106.40145994850148,3.952178196547127,10,0.1632328393124672,3,33,8.405175929694153,5.362639349352672,3,0,1.0899821467725066,0,28.689613646975456,True,True,1.4567930943987206
id_822817,EdgeHub_80907,2017,Series C+,32523330,15789109,829344,19.03804853348989,32344452,54.67313091955973,60.15610688964307,0.3076923076923077,2.113796500441633,Tier1,False,0,False,True,False,1.0731079912730783,2.7456690334552625,1.1430738356769412,0.5465976785548557,GA,0.8580620710043173,0.4349985150281129,FinTech,176056118555,18644914520,7745996837,21.516767944121,80481,13.287940303163822,61.85889196267395,120.0,3.834235869257275,24,0.4949234586672891,2,406,8.31438151527562,11.62315550236426,2,1,1.5930504831049626,7,28.726238979505368,False,True,0.30769196522482434
id_177452,HealthLabs_60757,2022,Seed,772498,271289,47802,5.67516945734988,88483,32.96108146102608,63.80801053145757,6.48296705802409,1.5384246942550162,Unknown,True,0,False,False,False,1.5188616707143086,0.8880087350945732,1.892846056423458,0.1230103167059822,Beta,0.2666668283198964,0.230572127503651,FinTech,640681835045,45023332316,16431982297,21.568992197204413,513,12.363462395292563,29.28628772397461,95.82054970295692,4.411091305866125,37,0.2110101577002376,3,12,2.587887467688492,0.9197616216740692,0,0,0.60931597387336,6,39.76076071504544,True,False,6.482872416170338
id_836336,CoreSystems_50064,2023,Series A,12381068,5892212,536975,10.97296909633084,4855745,368.1465322095776,65.3890798534852,1.3270263348621505,1.1143341085880227,Tier1,False,0,True,False,False,1.562869094096964,2.001048278772952,2.041594613932017,0.7268625222283178,GA,0.8107941134391256,0.5348745201243499,Gaming,22933715086,2200888384,258832216,18.220329114046336,9353,7.804298652040781,365.8322771210679,117.67822739191828,2.695098461635007,25,0.1497750791774541,1,41,5.723653794107318,4.609817083573995,3,1,4.578219833067172,1,44.25553225676421,False,False,1.3270260279318622
